Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
14/01/2022 01:00,1,102.9,88,ug/m3,175,Unhealthy,Valid
14/01/2022 02:00,2,93.9,85,ug/m3,171,Unhealthy,Valid
14/01/2022 03:00,3,95.5,97,ug/m3,172,Unhealthy,Valid
14/01/2022 04:00,4,92,88,ug/m3,170,Unhealthy,Valid
14/01/2022 05:00,5,93.6,95,ug/m3,171,Unhealthy,Valid
14/01/2022 06:00,6,96.1,99,ug/m3,172,Unhealthy,Valid
14/01/2022 07:00,7,93.6,90,ug/m3,171,Unhealthy,Valid
14/01/2022 08:00,8,92.5,91,ug/m3,170,Unhealthy,Valid
14/01/2022 09:00,9,91.5,90,ug/m3,170,Unhealthy,Valid
14/01/2022 10:00,10,92.8,95,ug/m3,170,Unhealthy,Valid
14/01/2022 11:00,11,92.1,90,ug/m3,170,Unhealthy,Valid
14/01/2022 12:00,12,91,87,ug/m3,169,Unhealthy,Valid
14/01/2022 13:00,13,86.7,75,ug/m3,167,Unhealthy,Valid
14/01/2022 14:00,14,79.9,68,ug/m3,164,Unhealthy,Valid
14/01/2022 15:00,15,78.9,77,ug/m3,163,Unhealthy,Valid
14/01/2022 16:00,16,88,106,ug/m3,168,Unhealthy,Valid
14/01/2022 17:00,17,89.4,92,ug/m3,169,Unhealthy,Valid
14/01/2022 18:00,18,91.4,95,ug/m3,170,Unhealthy,Valid
14/01/2022 19:00,19,103.8,119,ug/m3,176,Unhealthy,Valid
14/01/2022 20:00,20,119.7,134,ug/m3,184,Unhealthy,Valid
14/01/2022 21:00,21,133.5,147,ug/m3,191,Unhealthy,Valid
14/01/2022 22:00,22,138.2,143,ug/m3,194,Unhealthy,Valid
14/01/2022 23:00,23,140.1,142,ug/m3,195,Unhealthy,Valid
15/01/2022 00:00,0,143.5,147,ug/m3,196,Unhealthy,Valid
15/01/2022 01:00,1,144.2,145,ug/m3,197,Unhealthy,Valid
15/01/2022 02:00,2,134,123,ug/m3,192,Unhealthy,Valid
15/01/2022 03:00,3,135.8,137,ug/m3,192,Unhealthy,Valid
15/01/2022 04:00,4,136.3,137,ug/m3,193,Unhealthy,Valid
15/01/2022 05:00,5,139.5,145,ug/m3,194,Unhealthy,Valid
15/01/2022 06:00,6,141.7,151,ug/m3,196,Unhealthy,Valid
15/01/2022 07:00,7,141.9,142,ug/m3,196,Unhealthy,Valid
15/01/2022 08:00,8,145,155,ug/m3,197,Unhealthy,Valid
15/01/2022 09:00,9,146.7,153,ug/m3,198,Unhealthy,Valid
15/01/2022 10:00,10,156.9,176,ug/m3,207,Very Unhealthy,Valid
15/01/2022 11:00,11,162.5,175,ug/m3,213,Very Unhealthy,Valid
15/01/2022 12:00,12,166,174,ug/m3,216,Very Unhealthy,Valid
15/01/2022 13:00,13,184.8,207,ug/m3,235,Very Unhealthy,Valid
15/01/2022 14:00,14,180.7,180,ug/m3,231,Very Unhealthy,Valid
15/01/2022 15:00,15,168.7,145,ug/m3,219,Very Unhealthy,Valid
15/01/2022 16:00,16,151.4,126,ug/m3,202,Very Unhealthy,Valid
15/01/2022 17:00,17,125.7,105,ug/m3,187,Unhealthy,Valid
15/01/2022 18:00,18,120.9,116,ug/m3,185,Unhealthy,Valid
15/01/2022 19:00,19,127.8,135,ug/m3,188,Unhealthy,Valid
